iter	Passed	Remaining
0	55	55281
1	55	27805
2	56	18640
3	56	14029
4	56	11279
5	57	9447
6	57	8123
7	57	7129
8	57	6356
9	57	5739
10	58	5234
11	58	4816
12	58	4459
13	59	4161
14	59	3897
15	59	3666
16	59	3460
17	60	3278
18	60	3114
19	60	2966
20	60	2833
21	61	2712
22	61	2602
23	61	2500
24	61	2408
25	62	2322
26	62	2242
27	62	2169
28	62	2100
29	62	2035
30	63	1974
31	63	1917
32	63	1865
33	63	1817
34	64	1770
35	64	1725
36	64	1683
37	64	1643
38	65	1605
39	65	1568
40	65	1534
41	65	1500
42	66	1471
43	66	1441
44	66	1412
45	66	1386
46	67	1361
47	67	1338
48	67	1315
49	68	1292
50	68	1270
51	68	1249
52	68	1228
53	69	1209
54	69	1192
55	69	1175
56	69	1158
57	70	1141
58	70	1124
59	70	1108
60	71	1093
61	71	1078
62	71	1064
63	71	1049
64	72	1036
65	72	1023
66	72	1011
67	72	998
68	73	985
69	73	973
70	73	961
71	73	950
72	74	939
73	74	929
74	74	918
75	74	908
76	74	898
77	75	888
78	75	879
79	75	870
80	75	860
81	76	852
82	76	842
83	76	833
84	76	826
85	76	818
86	77	810
87	77	803
88	77	796
89	78	789
90	78	781
91	78	774
92	78	767
93	78	761
94	79	754
95	79	748
96	79	741
97	79	735
98	80	729
99	80	723
100	80	717
101	80	711
102	81	706
103	81	700
104	81	695
105	81	689
106	82	684
107	82	680
108	82	675
109	82	671
110	83	666
111	83	661
112	83	656
113	83	652
114	84	648
115	84	645
116	84	641
117	85	637
118	85	635
119	86	632
120	86	628
121	86	624
122	87	621
123	87	618
124	87	615
125	88	611
126	88	606
127	88	603
128	88	599
129	89	596
130	89	592
131	89	589
132	90	586
133	90	584
134	90	581
135	91	579
136	91	576
137	91	574
138	92	571
139	92	568
140	92	565
141	92	561
142	93	558
143	93	555
144	93	552
145	93	549
146	94	546
147	94	543
148	94	540
149	94	537
150	95	534
151	95	531
152	95	529
153	95	526
154	96	523
155	96	521
156	96	518
157	96	515
158	97	513
159	97	510
160	97	507
161	97	505
162	97	502
163	98	500
